,user,text,favorite_count,retweet_count,created_at
50,elonmusk,"@gunsnrosesgirl3 @DolphinDroneDom How exciting to be alive at the same time as the largest animal ever! 

Wild that Blue whales are bigger than the biggest dinosaur.",47189,2114,2022-10-24 12:48:28+00:00
51,elonmusk,@FedorovMykhailo @Teslarati @Writer_01001101 You’re most welcome,5170,219,2022-10-24 05:39:47+00:00
52,elonmusk,"@Teslarati @Writer_01001101 Before DoD even came back with an answer, I told @FedorovMykhailo that SpaceX would not turn off Starlink even if DoD refused to provide funding",11678,1095,2022-10-24 02:37:00+00:00
53,elonmusk,@LordofEa @kerrikgray @chicago_glenn @Tesla @teslaownersSV @dvorahfr @TonyadeVitti @SpaceX @SirineAti Absolutely!,10293,513,2022-10-23 22:36:41+00:00
54,elonmusk,@SKMorefield Interesting,10841,607,2022-10-23 16:58:01+00:00
55,elonmusk,@pcgamer Great game,35958,1279,2022-10-23 13:31:21+00:00
56,elonmusk,"Maybe it was a social media algorithm, not even people",54322,4046,2022-10-23 13:29:48+00:00
57,elonmusk,Think about who might have decided “The Current Thing” before accepting it,114353,12554,2022-10-23 13:26:21+00:00
58,elonmusk,"Who decides “The Current Thing?”
Real question. I don’t know.",117622,9237,2022-10-23 13:21:51+00:00
59,elonmusk,@andst7 Exactly. WaPo are such hypocrites.,17215,1398,2022-10-23 13:10:44+00:00
60,elonmusk,Neuralink show &amp; tell now on Nov 30,62481,4904,2022-10-23 12:19:22+00:00
61,elonmusk,@muskQu0tes @SpaceX Had to be done,11604,533,2022-10-23 12:11:12+00:00
62,elonmusk,@Gfilche @MartinViecha We’ve come a long way,10964,564,2022-10-23 01:41:03+00:00
63,elonmusk,"i know
|nothing|
is forever",212610,22808,2022-10-23 00:29:28+00:00
64,elonmusk,@BillyM2k @sakitechonline @DavidSacks 🤣💪,4054,160,2022-10-22 21:25:50+00:00
65,elonmusk,@michaelmalice @washingtonpost Good point 🤔,36878,1898,2022-10-22 20:24:41+00:00
66,elonmusk,@MuskUniversity This needs to change. Manufacturing is awesome!,19398,1330,2022-10-22 19:54:11+00:00
67,elonmusk,@muskQu0tes It will happen,23159,1105,2022-10-22 17:24:03+00:00
68,elonmusk,@DavidSacks @TheAtlantic @davidfrum @EliotACohen Hear! Hear!,11615,713,2022-10-22 16:00:09+00:00
69,elonmusk,"@ruthbenghiat Why are you perpetuating propaganda concocted by the oil &amp; gas industry to distract you from the 6 trillion dollars per *year* of subsidies those companies receive?
https://t.co/XZxDJAPE9a",24512,2166,2022-10-22 15:06:32+00:00
70,elonmusk,@xuanyiman @stillgray @DavidSacks 😋,1689,68,2022-10-22 07:01:37+00:00
71,elonmusk,"@stillgray @DavidSacks Switzerland &amp; Belgium have great chocolate, but I do also love eccentric British &amp; Irish artisanal sweet shops",2027,107,2022-10-22 07:00:32+00:00
72,elonmusk,@PhreshNic @MedvedevRussiaE @trussliz 🤣,1471,54,2022-10-22 06:43:06+00:00
73,elonmusk,@DavidSacks Good thread,3765,266,2022-10-22 00:39:36+00:00
74,elonmusk,"@teslaownersSV Next week. It’s actually a major release, so a lot more internal testing is needed before going to public beta.",8576,556,2022-10-21 22:43:38+00:00
75,elonmusk,@BillyM2k @DavidSacks 🤣💯,5544,243,2022-10-21 22:37:45+00:00
76,elonmusk,@ksadjadpour Cool,13907,868,2022-10-21 22:33:47+00:00
77,elonmusk,"@DavidSacks 🤣🤣 

Although there could be more R&amp;D in candy tbh. Feels like there hasn’t been much improvement in decades.",27086,1040,2022-10-21 22:20:58+00:00
78,elonmusk,@justindross 🤣,32637,974,2022-10-21 18:38:58+00:00
79,elonmusk,"@WholeMarsBlog Headline is misleading. Starlink can obviously offer far more robust positioning than GPS, as it will have ~1000X more satellites over time. 

Not all will have line of sight to users, but still &gt;10X GPS &amp; far stronger signal.

Just not today’s problem.",9840,763,2022-10-21 18:25:12+00:00
